Circuito,Posicion,Hellinger,Jensen-Shannon,Modo
qwalk-v-chain_5_mqt.py,11,0.1369327897025958,0.13626826206015918,Local Robust
dj_indep_7_mqt.py,12,0.3328859476118764,0.32300081575693385,Local Robust
simon_vq.py,13,0.040500180178307234,0.0404926950757562,Local Robust
qft_4_mqt.py,14,0.16656124287301133,0.16577298072783453,Local Robust
grover-v-chain_3_mqt.py,15,0.1606507344261999,0.15715227062678722,Local Robust
qft_3_vq.py,16,0.1178127777413011,0.11743071587777681,Local Robust
tsp_indep_5_mqt.py,17,0.12249382099170306,0.12217704033556344,Local Robust
qwalk-v-chain_3_mqt.py,18,0.2459110363396243,0.24403809838970134,Local Robust
grover-v-chain_4_mqt.py,19,0.22054969370972552,0.2190052080979603,Local Robust
grover_9_vq.py,20,0.4706610220804087,0.44586908446892237,Local Robust
dj_indep_4_mqt.py,21,0.0963571984350928,0.09582600333447763,Local Robust
adder_n4_vq.py,22,0.10381377366814895,0.09816918195029335,Local Robust
bv_4_vq.py,23,0.21049009359299126,0.20543791044017914,Local Robust
su2_5_vq.py,24,0.1041842701318999,0.1023317204574556,Local Robust
bv_9_vq.py,25,0.31718041079731996,0.29636061198117936,Local Robust
pe_5_vq.py,26,0.07371825943104422,0.0734039075966828,Local Robust
pe_4_mqt.py,27,0.17416919881814477,0.17222390971839946,Local Robust
qaoa_indep_5_mqt.py,28,0.09309567666317813,0.09286736023433971,Local Robust
bv_3_vq.py,29,0.06964233550950481,0.06907162610422118,Local Robust
pe_6_mqt.py,30,0.149890522544341,0.14874457263719706,Local Robust
tsp_indep_5_mqt.py,31,0.09001332632668242,0.08985967041847043,Local Robust
pe_2_vq.py,32,0.11044225109133404,0.10831296998469753,Local Robust
3_17tc_vq.py,33,0.09526787257002191,0.09492019788788446,Local Robust
pe_5_mqt.py,34,0.2934594881506583,0.28304934145660193,Local Robust
pe_3_mqt.py,35,0.12802832106760478,0.12552981507647706,Local Robust
shor_mod15_mqt.py,36,0.08147255884013688,0.08071006612776567,Local Robust
tsp_indep_4_mqt.py,37,0.10582326185702468,0.10539466775392621,Local Robust
qft_2_mqt.py,38,0.1375857775782026,0.13733921300624893,Local Robust
qaoa_indep_3_mqt.py,39,0.18136399475389897,0.1798404105970579,Local Robust
qwalk-noancilla_3_mqt.py,40,0.2183902317481538,0.21726427129838433,Local Robust
qwalk-v-chain_3_mqt.py,41,0.24671206666796933,0.244559585009667,Local Robust
grover-noancilla_3_mqt.py,42,0.1668641988022968,0.1645571379828501,Local Robust
shor_mod21_mqt.py,43,0.06147584682619827,0.06142783207657689,Local Robust
shor_mod21_mqt.py,44,0.07995849602133598,0.07987748528160071,Local Robust
bv_2_vq.py,45,0.03749188067648665,0.03724052962720951,Local Robust
qft_2_mqt.py,46,0.11950821616665774,0.11931942928722461,Local Robust
qft_6_mqt.py,47,0.10079585377005945,0.10056323969950981,Local Robust
su2random_3_mqt.py,48,0.028685900637374747,0.028682789965521097,Local Robust
tsp_indep_4_mqt.py,49,0.0886365660019665,0.08802678647153907,Local Robust
pe_6_vq.py,50,0.20963298073943915,0.20668834366432573,Local Robust
su2random_3_mqt.py,51,0.04341722674745532,0.04340481743218195,Local Robust
3_17tc_vq.py,52,0.057882178024551985,0.05772866994083851,Local Robust
bv_2_vq.py,53,0.09012514041122767,0.08873929669521363,Local Robust
qft_6_mqt.py,54,0.09776628334277228,0.09751686759559902,Local Robust
bv_4_vq.py,55,0.12210426159893292,0.12077776823942986,Local Robust
shor_mod15_mqt.py,56,0.16468220828878197,0.1598266849783728,Local Robust
pe_4_mqt.py,57,0.21960598325786354,0.21419988447953112,Local Robust
grover-v-chain_4_mqt.py,58,0.24746677613428628,0.24549643639657628,Local Robust
pe_2_vq.py,59,0.06622997648341315,0.06588780746999882,Local Robust
qft_3_mqt.py,60,0.09140986538510214,0.09122703356984072,Local Robust
pe_3_mqt.py,61,0.13326403645334212,0.1311061078071409,Local Robust
qft_7_vq.py,62,0.19950923013777241,0.19764381955515972,Local Robust
kickback_7_vq.py,63,0.004215341390343444,0.004215335141136574,Local Robust
bv_5_vq.py,64,0.19358170812950182,0.18898536238487598,Local Robust
grover_7_vq.py,65,0.15762037195261677,0.15574617718370146,Local Robust
qwalk-v-chain_5_mqt.py,66,0.08500152657805095,0.08486573774092189,Local Robust
qft_3_vq.py,67,0.12377500557915115,0.12332204864556191,Local Robust
adder_n4_vq.py,68,0.08157667850155954,0.07822233655490453,Local Robust
grover_9_vq.py,69,0.2211581353302849,0.21356657020164893,Local Robust
bv_9_vq.py,70,0.3122421028706887,0.2897104181174421,Local Robust
qaoa_indep_3_mqt.py,71,0.10982924930263009,0.10924258067197883,Local Robust
dj_indep_4_mqt.py,72,0.13151239418007124,0.12965782712811075,Local Robust
pe_6_vq.py,73,0.21520474245949375,0.2118862722025132,Local Robust
qaoa_indep_5_mqt.py,74,0.11425384528313343,0.11394429098356469,Local Robust
grover-noancilla_3_mqt.py,75,0.11235909899036013,0.11068317158642277,Local Robust
qaoa_indep_4_mqt.py,76,0.1666059062830629,0.1654146611465858,Local Robust
pe_5_mqt.py,77,0.25700179660082295,0.2533558884902297,Local Robust
qft_4_mqt.py,78,0.1682791195685038,0.1672021707874071,Local Robust
grover-noancilla_4_mqt.py,79,0.15268691454236383,0.15211858352265883,Local Robust
su2_5_vq.py,80,0.13751004657737959,0.1345468469961445,Local Robust
grover_3_vq.py,81,0.10905199673096859,0.10727697502517304,Local Robust
vqe_indep_3_mqt.py,82,0.10455644131268596,0.10353240873638041,Local Robust
bv_3_vq.py,83,0.13376368206589787,0.13215479340038602,Local Robust
dj_indep_7_mqt.py,84,0.16612535789528263,0.16428762414972706,Local Robust
pe_6_mqt.py,85,0.48201340028186895,0.4635833028717781,Local Robust
adder_n7_vq.py,86,0.21098388624751235,0.20336789057434054,Local Robust
adder_n10_vq.py,87,0.40981685818766095,0.3805237877979981,Local Robust
dj_indep_5_mqt.py,88,0.0903483048419476,0.08971434511916822,Local Robust
grover-v-chain_3_mqt.py,89,0.10675782345976093,0.10563212052403956,Local Robust
vqe_indep_4_mqt.py,90,0.11013083811946242,0.10872321440093302,Local Robust
pe_5_vq.py,91,0.06734878480681603,0.0671533583432429,Local Robust
vqe_indep_5_mqt.py,92,0.19571217604555224,0.18875977067672425,Local Robust
vqe_indep_5_mqt.py,93,0.13942202703704953,0.1370315069544743,Local Robust
adder_n7_vq.py,94,0.12617400376460422,0.11985881133235134,Local Robust
vqe_indep_3_mqt.py,95,0.09476523960298137,0.09399074639530429,Local Robust
dj_indep_5_mqt.py,96,0.09600263015539977,0.09546905027002438,Local Robust
qaoa_indep_4_mqt.py,97,0.16971573811781757,0.1680282142158761,Local Robust
pe_7_mqt.py,98,0.1624938871684125,0.16072096074556438,Local Robust
pe_7_mqt.py,99,0.5053979001026967,0.4789043941054725,Local Robust
adder_n10_vq.py,100,0.46866614032320586,0.44211546896426734,Local Robust
bv_5_vq.py,1,0.16882405729349462,0.16452678216211827,Local Standard
qwalk-v-chain_5_mqt.py,2,0.16000465840853903,0.15916970515061654,Local Standard
su2random_3_mqt.py,3,0.021388042099907637,0.021386960794796055,Local Standard
qft_6_mqt.py,4,0.1257832035838853,0.12543154318868494,Local Standard
pe_6_vq.py,5,0.23538841984520809,0.2310151749273831,Local Standard
qft_2_mqt.py,6,0.11120983877946851,0.1110756079997352,Local Standard
grover_9_vq.py,7,0.2695680852895847,0.25524413203633395,Local Standard
grover-noancilla_4_mqt.py,8,0.12237332808087863,0.12198890632742715,Local Standard
shor_mod21_mqt.py,9,0.0829437057239215,0.0828118920656052,Local Standard
adder_n4_vq.py,10,0.11111922591330786,0.10840592796195231,Local Standard
simon_vq.py,11,0.0673293144774893,0.0672779135394326,Local Standard
grover_7_vq.py,12,0.19461775974069123,0.19018061566315822,Local Standard
grover-v-chain_4_mqt.py,13,0.29530461696171295,0.29194560441035244,Local Standard
dj_indep_7_mqt.py,14,0.29108892016196375,0.28478666505341743,Local Standard
dj_indep_4_mqt.py,15,0.09149094831400031,0.09103979753802502,Local Standard
grover-noancilla_3_mqt.py,16,0.11001169759177282,0.1091135605371701,Local Standard
qwalk-v-chain_3_mqt.py,17,0.25909801549367645,0.25693650087191744,Local Standard
tsp_indep_5_mqt.py,18,0.1361328541814484,0.13564891181455124,Local Standard
qaoa_indep_5_mqt.py,19,0.08918134716741721,0.08877535495315561,Local Standard
bv_2_vq.py,20,0.13493973162409878,0.13099323270913543,Local Standard
simon_vq.py,21,0.03218446275681063,0.03217831157973224,Local Standard
qwalk-noancilla_3_mqt.py,22,0.19067197551614792,0.18991810373765078,Local Standard
